feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,label
122.0,615.0,217.0,109.0,130.0,133.0,79.0,158.0,446.0,1214.0,745.0,128.0,0.0,0.0,0.0,0.0,0.0015587401576340199,3.4909760415757773e-08,1.295581870952578e-11,1.1749737467703358e-11,-2.45104920822867e-23,1.6554958257389025e-15,-1.4288178143676986e-22,113.840087890625,56.382625579833984,10.0,185.0,A
135.0,592.0,204.0,124.0,126.0,131.0,88.0,152.0,480.0,1246.0,698.0,120.0,0.0,0.0,0.0,0.0,0.0015681181102991104,3.350317356876076e-08,1.133346628351406e-11,1.3282752718904445e-12,-2.1739870588187567e-24,1.882209779195012e-16,-4.672656250021546e-24,113.8056640625,56.104122161865234,9.0,184.0,A
202.0,796.0,168.0,98.0,116.0,117.0,83.0,156.0,495.0,1380.0,440.0,45.0,0.0,0.0,0.0,0.0,0.001728782313875854,3.2642059721865735e-08,2.6503662112209447e-11,7.923672828979988e-11,3.452057340731065e-21,1.1188385143690352e-15,-1.1262600212889532e-21,105.42578125,58.621341705322266,10.0,186.0,A
0.0,36.0,185.0,120.0,143.0,148.0,96.0,164.0,344.0,1634.0,850.0,179.0,37.0,34.0,28.0,98.0,0.0010881128255277872,3.6515723778052234e-09,9.282377384095541e-13,7.797488783128914e-13,6.442980521233156e-25,1.8310905136476024e-17,1.5796107625314786e-25,141.97314453125,42.54672622680664,27.0,253.0,A
0.0,43.0,197.0,261.0,526.0,222.0,199.0,205.0,150.0,253.0,262.0,506.0,977.0,265.0,7.0,23.0,0.0011334697483107448,1.7024733012238613e-10,2.1947780398656747e-11,3.991266345204636e-11,9.649147673497556e-22,1.7981695524486044e-16,6.814813102636215e-22,141.981201171875,59.39870071411133,16.0,254.0,A
2.0,39.0,203.0,240.0,533.0,222.0,204.0,206.0,153.0,239.0,255.0,513.0,993.0,262.0,9.0,23.0,0.0011254643322899938,5.860573831784066e-11,2.008205927939155e-11,3.875675821940483e-11,9.180063968655747e-22,4.862409177325562e-17,5.7128049627367115e-22,142.3203125,59.430965423583984,15.0,253.0,A
1.0,42.0,204.0,249.0,535.0,197.0,201.0,208.0,157.0,242.0,247.0,517.0,1000.0,267.0,5.0,24.0,0.0011193322716280818,8.21541272510995e-12,1.8136117607703284e-11,3.808637086266664e-11,8.76741878085256e-22,-6.736779931291532e-17,4.830008772841389e-22,142.512451171875,59.45509338378906,12.0,254.0,A
1.0,42.0,202.0,262.0,528.0,181.0,198.0,208.0,156.0,250.0,242.0,523.0,1012.0,262.0,6.0,23.0,0.001113589503802359,2.0435242040206525e-11,1.6694437499076287e-11,3.7237827404945634e-11,8.288565317689516e-22,-1.621162827529607e-16,4.1836797608466886e-22,142.757080078125,59.533443450927734,15.0,254.0,A
2.0,40.0,214.0,233.0,548.0,187.0,190.0,204.0,155.0,253.0,238.0,526.0,1018.0,258.0,7.0,23.0,0.0011104324366897345,4.833737923815029e-11,1.584549332023233e-11,3.677667198553891e-11,8.06315557154294e-22,-2.237511645555119e-16,3.7152518834070447e-22,142.838623046875,59.61434555053711,14.0,254.0,A
0.0,47.0,209.0,253.0,532.0,168.0,190.0,205.0,169.0,252.0,237.0,530.0,1018.0,254.0,9.0,23.0,0.0011087721213698387,6.704766603027323e-11,1.540196269134153e-11,3.6237207678979644e-11,7.905648447762892e-22,-2.1721277165186816e-16,3.284809236275603e-22,142.97509765625,59.537437438964844,16.0,254.0,A
2.0,44.0,201.0,255.0,545.0,175.0,172.0,217.0,150.0,261.0,232.0,532.0,1016.0,264.0,8.0,22.0,0.0011092801578342915,6.943200875353384e-11,1.534542631853597e-11,3.612388513318798e-11,7.984847558292185e-22,-1.6064758056198096e-16,2.9290814356349435e-22,143.020751953125,59.614112854003906,12.0,254.0,A
1.0,40.0,204.0,254.0,520.0,182.0,191.0,199.0,170.0,257.0,252.0,526.0,1007.0,264.0,6.0,23.0,0.0011100716656073928,5.6701931344660395e-11,1.603202640088064e-11,3.5530679093342954e-11,8.081613654547663e-22,-4.7268299735889356e-17,2.5688724001816493e-22,143.159423828125,59.390445709228516,14.0,254.0,A
0.0,41.0,212.0,249.0,528.0,169.0,182.0,199.0,163.0,285.0,248.0,515.0,1012.0,263.0,7.0,23.0,0.0011118627153337002,9.03701211085739e-11,1.6504790589788598e-11,3.513519336584281e-11,8.18660712828249e-22,8.03100392304874e-17,2.137039590808591e-22,143.277587890625,59.341835021972656,17.0,254.0,A
203.0,808.0,151.0,106.0,118.0,123.0,76.0,153.0,516.0,1361.0,437.0,44.0,0.0,0.0,0.0,0.0,0.0017335076117888093,3.1595291716257634e-08,2.6908787698065595e-11,8.562796999234124e-11,4.001355350667426e-21,2.0306374007154123e-15,-9.39942031176002e-22,105.096435546875,58.60725021362305,9.0,185.0,A
1.0,38.0,216.0,235.0,520.0,184.0,182.0,198.0,164.0,289.0,249.0,518.0,1012.0,259.0,8.0,23.0,0.0011109685292467475,1.5214264570406755e-10,1.684581987793088e-11,3.410512497414864e-11,8.013271794429108e-22,1.7926510004483446e-16,1.616890584543547e-22,143.490234375,59.104862213134766,14.0,254.0,A
2.0,42.0,196.0,256.0,492.0,189.0,191.0,200.0,166.0,285.0,262.0,512.0,1010.0,263.0,7.0,23.0,0.0011086153099313378,2.8944746599535165e-10,1.6947868455852166e-11,3.311802221350746e-11,7.7932121660506135e-22,2.540628473779379e-16,9.095173068923104e-23,143.7470703125,58.976539611816406,11.0,253.0,A
0.0,47.0,194.0,249.0,482.0,191.0,192.0,191.0,168.0,309.0,258.0,509.0,1023.0,253.0,5.0,25.0,0.0011053356574848294,4.716984025598947e-10,1.7045715533514638e-11,3.176359522627514e-11,7.389307809512765e-22,2.9143619094206376e-16,1.5727595598038214e-23,144.033935546875,58.80529022216797,17.0,255.0,A
0.0,49.0,196.0,241.0,460.0,195.0,183.0,195.0,181.0,313.0,268.0,505.0,1008.0,272.0,6.0,24.0,0.0010995265329256654,6.417499309741004e-10,1.7156802020745765e-11,3.007068899441023e-11,6.816397387769388e-22,3.1598603801991077e-16,-4.339531728229838e-23,144.542724609375,58.59949493408203,16.0,254.0,A
1.0,43.0,195.0,233.0,453.0,212.0,163.0,213.0,169.0,325.0,267.0,517.0,998.0,277.0,6.0,24.0,0.0010955268517136574,8.932900530389531e-10,1.748751490837641e-11,2.848610930472617e-11,6.291067521732087e-22,3.6524902424596765e-16,-9.194408615356286e-23,144.94140625,58.36265182495117,14.0,254.0,A
0.0,45.0,198.0,227.0,434.0,220.0,175.0,196.0,182.0,337.0,255.0,519.0,1012.0,264.0,10.0,22.0,0.0010931147262454033,1.1965242130429488e-09,1.8537468435275706e-11,2.731797600630248e-11,6.008193360716868e-22,4.2288249593590993e-16,-1.3012592584289507e-22,145.22119140625,58.218223571777344,16.0,253.0,A
0.0,45.0,204.0,232.0,420.0,215.0,168.0,197.0,177.0,340.0,281.0,513.0,997.0,278.0,6.0,23.0,0.0010910596465691924,1.4135866921449747e-09,1.9106877538477285e-11,2.649025963863405e-11,5.758579594949683e-22,4.751440317348062e-16,-1.5351704007789126e-22,145.47265625,58.15048599243164,16.0,254.0,A
0.0,46.0,209.0,231.0,399.0,226.0,166.0,194.0,172.0,355.0,277.0,518.0,998.0,274.0,8.0,23.0,0.0010905613889917731,1.596444976215139e-09,1.971718968651892e-11,2.5888593352396683e-11,5.598995936831604e-22,5.212221476094073e-16,-1.6919233735335694e-22,145.618896484375,58.132083892822266,16.0,253.0,A
1.0,45.0,191.0,245.0,399.0,220.0,159.0,198.0,188.0,356.0,276.0,512.0,1001.0,275.0,7.0,23.0,0.0010901985224336386,1.8249186606311696e-09,2.0246819845692876e-11,2.524116853031e-11,5.38876362206599e-22,5.547462293540749e-16,-1.876509252290596e-22,145.748046875,57.96144104003906,15.0,253.0,A
0.0,40.0,199.0,242.0,400.0,219.0,162.0,195.0,180.0,359.0,290.0,511.0,991.0,279.0,6.0,23.0,0.0010896138846874237,1.9649653015818558e-09,2.0689514337868253e-11,2.486562691861316e-11,5.309205043399406e-22,5.761659985242416e-16,-1.9029555301482046e-22,145.784912109375,57.88076400756836,16.0,253.0,A
182.0,841.0,155.0,98.0,117.0,120.0,79.0,156.0,515.0,1361.0,437.0,35.0,0.0,0.0,0.0,0.0,0.001734805409796536,3.088375777338115e-08,2.7481782474692018e-11,9.257905553283763e-11,4.587842964735645e-21,2.624702687722795e-15,-8.706642412359437e-22,104.8896484375,58.686824798583984,10.0,183.0,A
1.0,43.0,204.0,227.0,407.0,206.0,162.0,205.0,181.0,357.0,294.0,512.0,995.0,272.0,7.0,23.0,0.001087997225113213,2.034241441961626e-09,2.0857884863723086e-11,2.4488190988880554e-11,5.175763604591627e-22,5.78143449879166e-16,-1.9598483048504888e-22,145.94140625,57.86062240600586,14.0,254.0,A
1.0,42.0,202.0,227.0,391.0,220.0,172.0,199.0,174.0,354.0,301.0,515.0,1000.0,268.0,6.0,24.0,0.0010876554297283292,2.024820311419262e-09,2.071659857549868e-11,2.4177023230653738e-11,5.05929340375441e-22,5.866962591849479e-16,-1.9184832157710853e-22,146.05224609375,57.76152038574219,13.0,254.0,A
1.0,47.0,203.0,227.0,373.0,236.0,172.0,184.0,185.0,360.0,303.0,515.0,984.0,274.0,9.0,23.0,0.0010889514815062284,2.0751840246191477e-09,2.0628746974504786e-11,2.4263320519413156e-11,5.071152823059141e-22,6.140212773655756e-16,-1.93638063955325e-22,146.026611328125,57.753944396972656,15.0,253.0,A
